ExchangeName;Country;Capitalization;Capitalization/GDP;Value traded (EOB Total);Value traded (Total)/GDP;Share turnover velocity;Capitalization/Number of listed companies (Total);Number of listed companies (Total);Number of listed companies (Foreign)/Number of listed companies (Total);Number of listed companies (Domestic)/Population;Number of listed companies (Domestic);Number of listed companies (Foreign);Number of new listings through IPO (Total);Number of trades (EOB);GDP;Population
Astana International Exchange;Kazakhstan;62,34;0,2764;66,82;0,2963;1,0719;6,234;10;0,2;0,4047;8;2;1;18,39;225,529;19,767
National Equities Exchange and Quotations;China;44003,11;sty.00;1728,51;0,0966;0,0393;sty.00;6580;0;sty.00;6580;0;0;2861,92;17886,33;1411,75
Armenia Securities Exchange;Armenia;252,67;sty.00;sty.00;0,125;0,0097;21,0558;12;0;4,0513;12;0;2;sty.00;19,514;2,962
MERJ Exchange Limited;Seychelles;1215,83;614,9874;sty.00;sty.00;0,0065;25,8687;47;0,0213;464,6465;46;1;0;0,69;1,977;0,099
Bulgarian Stock Exchange;Bulgaria;15704,59;176,2284;423,24;sty.00;0,027;27,4556;572;0,6486;31,1725;201;371;4;87,34;89,115;6,448
Colombo Stock Exchange;Sri Lanka;10598,22;141,6004;1684,42;22,5051;0,1589;36,5456;290;0;sty.00;290;0;4;6056,71;74,846;22,396
Baku Stock Exchange;Azerbaijan;1467,98;18,6479;sty.00;0,029;0,0016;50,62;29;0;sty.00;29;0;0;sty.00;78,721;10,156
Namibian Stock Exchange;Namibia;2158,68;171,2966;796,1;63,1725;0,3688;55,3508;39;0,641;sty.00;14;25;0;sty.00;12,602;2,596
Pakistan Stock Exchange;Pakistan;28713,9;76,6403;7617,57;20,3321;0,2653;58,1253;494;0;2,176;494;0;3;25020,95;374,658;227,027
Cyprus Stock Exchange;Cyprus;6532,66;229,5302;46,25;1,625;0,0071;60,4876;108;0,1481;101,6575;92;16;0;21,93;28,461;0,905
